Title,City,Salary,Technologies
Senior Full-stack Engineer (Python+JS), remote,,Python
Middle Full-Stack Engineer, remote,,Python
Python Developer/Data Scientist, remote,$5500,"Python, Sql"
Middle Python Developer," Lviv, Wroclaw (Poland), remote",,Python
"Senior BigData Developer (Java OR Python, Spark, Hive, Hadoop)",,,"Oop, Sql"
Full-Stack Developer (Vue.js\Python), remote,,"Python, Javascript"
Machine Learning Engineer (Python), remote,,Python
Senior Python Software Engineer (240002UQ)," Kyiv, Lviv, Dnipro, Vinnytsia, remote",,"Aws, Git, Docker, Networking, Python, Sql, Linux, Rest, Api"
Middle Python/Data Engineer," Kyiv, Lviv, Ivano-Frankivsk",,"Python, Nosql, Microservices, Fastapi"
Junior Python розробник," Kyiv, Dnipro, remote",,"Python, Aws"
Fullstack Developer (Python + React)," Lviv, remote",,"Flask, Docker, Python, Sql, Django, Fullstack, Postgresql, Api"
Middle Python Developer, remote,,Python
Python Software engineer (KYC), remote,,"Docker, Python, Django, Rest, Nosql"
Middle QA Automation (Python)," Gdansk (Poland), remote",,"Oop, Linux, Git, Python"
Middle Python Developer," Lviv, Rzeszow (Poland), remote",,"Aws, Python, Sql, Oop, Azure"
Python Cloud Engineer," Lviv, Lutsk, Rivne, remote",,"Aws, Python, Django, Azure, Rest, Api"
Middle Software Engineer (Python or TypeScript) with LLM Experience," Lviv, remote",$1500–2500,"Python, Api"
Python Developer, remote,,"Python, Sql, Api"
Python UAV Developer (Only Kyiv location),,,"Python, Algorithms"
Computer Vision Python Engineer,,,Python
Middle Backend Engineer (Python)," Kyiv, relocation, remote",,"Docker, Python, Django, Rest, Api"
Full-stack developer,,$2500–3500,"Python, Mysql, Angular"
Middle Python Developer," Ivano-Frankivsk, remote",,"Flask, Python, Api"
Strong Junior or Middle Python Engineer, remote,,"Git, Python, Sql, Nosql, Api"
Python developer, remote,,"Python, Sql, Fullstack, Redis"
Python Tech Lead, remote,,"Python, Aws, React"
TechLead. Backend," Dnipro, remote",,Python
Python Back End Engineer, remote,,"Python, Linux, Aws"
Python Senior Software Engineer, remote,$3000–5000,Python
Python Back End Middle Developer, remote,$1500–4000,"Algorithms, Python, Django, Js, Rest, Angular"
Middle Backend Developer (Python), remote,,"Flask, Aws, Docker, Python, Postgresql"
"Backend Python Developer (Remote, Contract)", remote,,"Python, Sql, Aws, Nosql"
Python developer, remote,,"Python, Aws, Docker"
Full Stack Developer (Python/PHP), remote,,Python
Python Software Engineer, Kyiv,,"Python, Django"
Python Software Engineer, remote,,"Python, Rest"
Junior Python Software Engineer," Kharkiv, Vinnytsia, remote",,"Python, Postgresql, Azure, Rest, Api"
PHP/Python Developer," Kyiv, remote",,Python
Senior Python (with React) Engineer," Kyiv, Warsaw (Poland), remote",,"Graphql, Python, Microservices, Postgresql, Azure, React"
Django Developer, remote,,"Mysql, Python, Django, Css, Rest"
Automated Vehicle Control Engineer, Kyiv,,Python
Senior Python Developer, remote,,Python
Senior Python Developer, remote,,Python
Middle Python Developer, Dnipro,,"Python, Api"
Middle Python/Django developer," Lviv, remote",,"Python, Rest, Django"
Full Stack Python/React Developer," Chernivtsi, Ivano-Frankivsk, relocation, remote",,"Python, React, Django, Graphql"
Senior Python Developer, remote,$2000–7000,"Python, Sql"
🐍 Стажер Python Developer для УНКД 🐍, remote,$300–500,"Python, Api"
💻 Волонтерська позиція: Middle/Senior FullStack (Node.js + Python) Developer для УНКД 💻, remote,,"Python, Fullstack"
Middle/Senior Python Developer, remote,,"Python, Rest, Docker, Redis"
Senior Python Engineer (with Scraping) (#1958)," Kyiv, Lviv, Dnipro, Vinnytsia, Ivano-Frankivsk, Ternopil, remote",,"Python, Mysql, Docker"
Senior Python Developer in Hosting Services Team, remote,,"Aws, Mysql, Docker, Python, Django, Linux"
Senior Python Developer in Virtual Services Team, remote,,"Aws, Mysql, Docker, Python, Django, Linux"
Python Developer у Стартап,,$1000–2500,"Python, Api"
Senior Full Stack Developer (Python/Django), remote,,"Python, Api, Fastapi"
Python Developer/Part-time Mentor, remote,,Python
Python Developer," Мальта, remote",$2500–4500,"Api, Python, Sql, Django, Nosql"
Back-end developer," Chernivtsi, Ivano-Frankivsk, relocation, remote",,"Python, Api, Graphql"
